Model,MDO3024
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,8e-07
Horizontal Delay,0
Sample Interval,8e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,-1.06
,
,
,
Label,
TIME,CH1
-4.000000e-06,0.95
-3.999200e-06,0.91
-3.998400e-06,0.95
-3.997600e-06,0.95
-3.996800e-06,0.93
-3.996000e-06,0.95
-3.995200e-06,0.95
-3.994400e-06,0.97
-3.993600e-06,0.95
-3.992800e-06,0.95
-3.992000e-06,0.97
-3.991200e-06,0.97
-3.990400e-06,0.99
-3.989600e-06,0.99
-3.988800e-06,0.95
-3.988000e-06,0.97
-3.987200e-06,0.99
-3.986400e-06,0.97
-3.985600e-06,0.95
-3.984800e-06,0.95
-3.984000e-06,0.99
-3.983200e-06,0.97
-3.982400e-06,0.97
-3.981600e-06,0.97
-3.980800e-06,0.99
-3.980000e-06,1.01
-3.979200e-06,0.99
-3.978400e-06,0.99
-3.977600e-06,0.99
-3.976800e-06,0.99
-3.976000e-06,0.99
-3.975200e-06,0.99
-3.974400e-06,1.01
-3.973600e-06,1.03
-3.972800e-06,1.01
-3.972000e-06,1.01
-3.971200e-06,1.01
-3.970400e-06,1.03
-3.969600e-06,1.01
-3.968800e-06,1.01
-3.968000e-06,1.03
-3.967200e-06,1.03
-3.966400e-06,1.03
-3.965600e-06,1.01
-3.964800e-06,1.03
-3.964000e-06,1.05
-3.963200e-06,1.03
-3.962400e-06,1.05
-3.961600e-06,1.03
-3.960800e-06,1.03
-3.960000e-06,1.05
-3.959200e-06,1.05
-3.958400e-06,1.05
-3.957600e-06,1.05
-3.956800e-06,1.07
-3.956000e-06,1.03
-3.955200e-06,1.05
-3.954400e-06,1.05
-3.953600e-06,1.07
-3.952800e-06,1.03
-3.952000e-06,1.09
-3.951200e-06,1.05
-3.950400e-06,1.07
-3.949600e-06,1.05
-3.948800e-06,1.07
-3.948000e-06,1.09
-3.947200e-06,1.07
-3.946400e-06,1.09
-3.945600e-06,1.07
-3.944800e-06,1.07
-3.944000e-06,1.05
-3.943200e-06,1.09
-3.942400e-06,1.07
-3.941600e-06,1.07
-3.940800e-06,1.09
-3.940000e-06,1.09
-3.939200e-06,1.09
-3.938400e-06,1.09
-3.937600e-06,1.09
-3.936800e-06,1.11
-3.936000e-06,1.11
-3.935200e-06,1.11
-3.934400e-06,1.09
-3.933600e-06,1.11
-3.932800e-06,1.11
-3.932000e-06,1.11
-3.931200e-06,1.09
-3.930400e-06,1.13
-3.929600e-06,1.11
-3.928800e-06,1.13
-3.928000e-06,1.11
-3.927200e-06,1.11
-3.926400e-06,1.11
-3.925600e-06,1.13
-3.924800e-06,1.11
-3.924000e-06,1.13
-3.923200e-06,1.13
-3.922400e-06,1.13
-3.921600e-06,1.15
-3.920800e-06,1.13
-3.920000e-06,1.17
-3.919200e-06,1.15
-3.918400e-06,1.13
-3.917600e-06,1.15
-3.916800e-06,1.15
-3.916000e-06,1.15
-3.915200e-06,1.15
-3.914400e-06,1.15
-3.913600e-06,1.17
-3.912800e-06,1.15
-3.912000e-06,1.15
-3.911200e-06,1.17
-3.910400e-06,1.19
-3.909600e-06,1.15
-3.908800e-06,1.17
-3.908000e-06,1.17
-3.907200e-06,1.17
-3.906400e-06,1.17
-3.905600e-06,1.17
-3.904800e-06,1.17
-3.904000e-06,1.19
-3.903200e-06,1.19
-3.902400e-06,1.19
-3.901600e-06,1.19
-3.900800e-06,1.17
-3.900000e-06,1.19
-3.899200e-06,1.19
-3.898400e-06,1.19
-3.897600e-06,1.21
-3.896800e-06,1.19
-3.896000e-06,1.21
-3.895200e-06,1.21
-3.894400e-06,1.19
-3.893600e-06,1.19
-3.892800e-06,1.21
-3.892000e-06,1.19
-3.891200e-06,1.21
-3.890400e-06,1.21
-3.889600e-06,1.21
-3.888800e-06,1.21
-3.888000e-06,1.21
-3.887200e-06,1.21
-3.886400e-06,1.23
-3.885600e-06,1.23
-3.884800e-06,1.21
-3.884000e-06,1.21
-3.883200e-06,1.21
-3.882400e-06,1.23
-3.881600e-06,1.23
-3.880800e-06,1.23
-3.880000e-06,1.23
-3.879200e-06,1.23
-3.878400e-06,1.25
-3.877600e-06,1.23
-3.876800e-06,1.23
-3.876000e-06,1.27
-3.875200e-06,1.25
-3.874400e-06,1.25
-3.873600e-06,1.23
-3.872800e-06,1.25
-3.872000e-06,1.27
-3.871200e-06,1.27
-3.870400e-06,1.27
-3.869600e-06,1.25
-3.868800e-06,1.25
-3.868000e-06,1.27
-3.867200e-06,1.25
-3.866400e-06,1.27
-3.865600e-06,1.27
-3.864800e-06,1.27
-3.864000e-06,1.27
-3.863200e-06,1.27
-3.862400e-06,1.27
-3.861600e-06,1.25
-3.860800e-06,1.29
-3.860000e-06,1.29
-3.859200e-06,1.29
-3.858400e-06,1.25
-3.857600e-06,1.29
-3.856800e-06,1.29
-3.856000e-06,1.29
-3.855200e-06,1.31
-3.854400e-06,1.29
-3.853600e-06,1.29
-3.852800e-06,1.29
-3.852000e-06,1.31
-3.851200e-06,1.31
-3.850400e-06,1.27
-3.849600e-06,1.31
-3.848800e-06,1.29
-3.848000e-06,1.31
-3.847200e-06,1.33
-3.846400e-06,1.29
-3.845600e-06,1.31
-3.844800e-06,1.29
-3.844000e-06,1.29
-3.843200e-06,1.33
-3.842400e-06,1.31
-3.841600e-06,1.31
-3.840800e-06,1.31
-3.840000e-06,1.33
-3.839200e-06,1.33
-3.838400e-06,1.33
-3.837600e-06,1.33
-3.836800e-06,1.31
-3.836000e-06,1.33
-3.835200e-06,1.31
-3.834400e-06,1.35
-3.833600e-06,1.33
-3.832800e-06,1.33
-3.832000e-06,1.33
-3.831200e-06,1.33
-3.830400e-06,1.33
-3.829600e-06,1.31
-3.828800e-06,1.33
-3.828000e-06,1.31
-3.827200e-06,1.33
-3.826400e-06,1.31
-3.825600e-06,1.31
-3.824800e-06,1.33
-3.824000e-06,1.33
-3.823200e-06,1.31
-3.822400e-06,1.35
-3.821600e-06,1.33
-3.820800e-06,1.31
-3.820000e-06,1.31
-3.819200e-06,1.31
-3.818400e-06,1.33
-3.817600e-06,1.33
-3.816800e-06,1.33
-3.816000e-06,1.35
-3.815200e-06,1.33
-3.814400e-06,1.35
-3.813600e-06,1.33
-3.812800e-06,1.33
-3.812000e-06,1.37
-3.811200e-06,1.35
-3.810400e-06,1.35
-3.809600e-06,1.37
-3.808800e-06,1.37
-3.808000e-06,1.35
-3.807200e-06,1.37
-3.806400e-06,1.35
-3.805600e-06,1.37
-3.804800e-06,1.37
-3.804000e-06,1.37
-3.803200e-06,1.39
-3.802400e-06,1.37
-3.801600e-06,1.35
-3.800800e-06,1.37
-3.800000e-06,1.37
-3.799200e-06,1.39
-3.798400e-06,1.39
-3.797600e-06,1.37
-3.796800e-06,1.39
-3.796000e-06,1.39
-3.795200e-06,1.41
-3.794400e-06,1.41
-3.793600e-06,1.41
-3.792800e-06,1.37
-3.792000e-06,1.39
-3.791200e-06,1.41
-3.790400e-06,1.39
-3.789600e-06,1.41
-3.788800e-06,1.41
-3.788000e-06,1.41
-3.787200e-06,1.41
-3.786400e-06,1.41
-3.785600e-06,1.41
-3.784800e-06,1.41
-3.784000e-06,1.39
-3.783200e-06,1.43
-3.782400e-06,1.41
-3.781600e-06,1.41
-3.780800e-06,1.41
-3.780000e-06,1.43
-3.779200e-06,1.41
-3.778400e-06,1.41
-3.777600e-06,1.41
-3.776800e-06,1.43
-3.776000e-06,1.43
-3.775200e-06,1.43
-3.774400e-06,1.41
-3.773600e-06,1.45
-3.772800e-06,1.45
-3.772000e-06,1.43
-3.771200e-06,1.45
-3.770400e-06,1.45
-3.769600e-06,1.45
-3.768800e-06,1.45
-3.768000e-06,1.45
-3.767200e-06,1.45
-3.766400e-06,1.47
-3.765600e-06,1.45
-3.764800e-06,1.47
-3.764000e-06,1.45
-3.763200e-06,1.43
-3.762400e-06,1.45
-3.761600e-06,1.45
-3.760800e-06,1.47
-3.760000e-06,1.47
-3.759200e-06,1.49
-3.758400e-06,1.49
-3.757600e-06,1.47
-3.756800e-06,1.47
-3.756000e-06,1.47
